ID;Name;Description;Coordinates
5370718;JEAN MOULIN;AVENUE ERNEST REYER - 75114;48.8237148996,2.31803528424
5454933;AMIRAL MOUCHEZ;31 RUE DE RUNGIS - 75113;48.8215233105,2.34316180877
5454934;STADE CHARLETY - PORTE DE GENTILLY;96 RUE DE L' AMIRAL MOUCHEZ - 75114;48.8202739878,2.34380136322
5478245;CHARENTON-ECOLES;FACE 3 RUE GABRIELLE - 94018;48.8209767175,2.41509458406
5478253;MARECHAL LECLERC;98-100 RUE DU MARECHAL LECLERC - 94069;48.8180269247,2.44104440692
5478259;JOHN FITZGERALD KENNEDY;FACE 2 RUE MARECHAL LECLERC - 94069;48.8143575183,2.46225354923
5478413;CARTOUCHERIE;ROUTE DU CHAMP DE MANOEUVRE - 75112;48.834629072,2.44883779385
5478436;CHEMIN VERT;RUE DU CHEMIN VERT - 94068;48.8009381554,2.47105122342
5605608;LES COURTILLIERES;FACE 1 RUE BALZAC - 93008;48.9133745574,2.41691052321
5605613;CITE DE LA RESISTANCE;RUE SAINT-STENAY - 93029;48.9183522741,2.4185136301
5605647;FAIDHERBE - DANTON;FACE 63 R FAIDHERBE - 93029;48.9214422143,2.43276930911
5657289;MATHURIN MOREAU - SIMON BOLIVAR;106 AVENUE SIMON BOLIVAR - 75119;48.8785881842,2.37434432158
5657294;PYRENEES - BELLEVILLE;399 BIS RUE DES PYRENEES - 75120;48.8738028126,2.38584007889
5657310;MARAICHERS;61 RUE DES PYRENEES - 75120;48.8522051434,2.40605760791
5657314;COURS DE VINCENNES;1-3 RUE DES PYRENEES - 75120;48.8479539565,2.40624261884
5673020;RUE YVES LEGER;3-5 RUE YVES LEGER - 94022;48.7603400387,2.407444998
5675659;REPUBLIQUE - GENERAL LECLERC;86 AVENUE DU GENERAL LECLERC - 94046;48.8054799077,2.44115539021
5688789;BOURG-LA-REINE RER;PLACE DE LA GARE - 92014;48.780167973,2.31308737347
5688794;MARECHAL DE LATTRE;46 RUE DE LA BIEVRE - 92014;48.7800617635,2.32338264666
5688803;SOUS-PREFECTURE - EGLISE DE L'HAY-LES-ROSES;7-9 RUE JEAN JAURES - 94038;48.7783817945,2.33487474983
5688805;MAIRIE DE L'HAY-LES-ROSES;11 RUE DES JARDINS - 94038;48.7798468598,2.33768987755
5688815;AUGUSTE DELAUNE;39-41 AVENUE DE LA REPUBLIQUE - 94076;48.7884187353,2.36228276294
5688833;PONT DE VITRY;AVENUE DU PRESIDENT SALVADOR ALLENDE - 94081;48.7963675362,2.41605080742
5688842;HUGO - BLUM;34 RUE VICTOR HUGO - 94046;48.8003884118,2.43574387108
5688854;EXPLORADOME;AVENUE HENRI BARBUSSE - 94081;48.7929834424,2.39237572143
5688856;LA TOURNELLE;7-9 AV DU GENERAL DE GAULLE - 94038;48.7805119376,2.34008350936
5709876;CASERNE DES GARDES;AVENUE DE SAINT-MAURICE - 75112;48.8289277912,2.41957152401
5709877;DEMI LUNE - PARC ZOOLOGIQUE;AVENUE DE SAINT-MAURICE - 75112;48.8345446024,2.420220308
5709895;AUBERT;144 AVENUE DE PARIS - 94080;48.8461007461,2.4228397046
5710016;PARVIS DES BATELIERS;RUE DES BATELIERS - 93070;48.9124571237,2.32746490686
1635;Danube;9 place Rhin et Danube - 75119;48.8819510182,2.39326067586
3741000;JEAN-BAPTISTE COROT - LAMARTINE;AVENUE CHARLES DE GAULLE - 95268;48.975691997,2.39611973644
3740978;CROIX BLANCHE;FACE 191 BOULEVARD MAXIME GORKI - 93072;48.9462741042,2.38633104493
3741052;GARE DU NORD;GARE ROUTIERE - 75110;48.8809738816,2.35738102934
3731678;CHEMIN DES VIGNES;FACE 210 AVENUE DU GENERAL LECLERC - 93055;48.9034169733,2.41679978829
3731677;SURCOUF - JEAN JAURES;2-4 RUE DES MASCOTTES - 93007;48.9209286937,2.47141570567
3740312;MONCEAU;60 BOULEVARD DE COURCELLES - 75117;48.8804148605,2.30832592451
3743502;MARTELET;38-40 AVENUE MARX DORMOY - 94017;48.810254892,2.52093483499
3740521;SAINT-PHILIPPE-DU-ROULE;64 BIS RUE LA BOETIE - 75108;48.8732347898,2.31169517494
3747914;CANAL SAINT-MARTIN;19 RUE DES ECLUSES SAINT-MARTIN - 75110;48.876981696,2.36629052751
3740556;ROND-POINT DES CHAMPS-ELYSEES - MATIGNON;FACE 3 AVENUE MATIGNON - 75108;48.8696937901,2.31172416745
3740559;GARE SAINT-LAZARE;119-121 RUE SAINT LAZARE - 75108;48.8753759596,2.32580965408
3740974;PORTE DE LA CHAPELLE;RUE DE LA CHAPELLE - 75118;48.898121066,2.35950049649
3747866;PORTE DE MONTEMPOIVRE;FACE 17-19 AVENUE EMILE LAURENT - 75112;48.841030075,2.41202021954
3747851;DOCTEUR GOUJON - REUILLY;BOULEVARD DE REUILLY - 75112;48.839708605,2.39659175968
3747863;PORTE DE SAINT-MANDE;1 AVENUE COURTELINE - 75112;48.8443021982,2.41096281897
3747853;PICPUS - REUILLY;69 BOULEVARD DE REUILLY - 75112;48.8397791598,2.39923328401
3747855;HOPITAL ROTHSCHILD;70 RUE DE PICPUS - 75112;48.8425212341,2.39753450892
3743477;PLAGE DE CHAMPIGNY;151 AVENUE ROGER SALENGRO - 94017;48.8167380958,2.50035273108
3743478;PLAGE DE CHAMPIGNY;136 AVENUE ROGER SALENGRO - 94017;48.8165048068,2.50006619624
3747933;CHARONNE - CHANZY;44 RUE FAIDHERBE - 75111;48.8536363438,2.38275683967
3747966;SAMBRE ET MEUSE;52 AVENUE CLAUDE VELLEFAUX - 75110;48.8756774579,2.37043183151
3748056;LA CERISAIE;39 BOULEVARD HENRI IV - 75104;48.8525000358,2.36650834534
3764130;LES GODETS;216 AVENUE DU BOIS DE VERRIERES - 92002;48.7575417775,2.27816095643
3764094;MORTEAUX;105 AVENUE ARISTIDE BRIAND - 92002;48.7603660455,2.30757706182
3764117;CARNOT;33 AVENUE GABRIEL PERI - 91645;48.7412839262,2.26514673186
3764462;FELIX FAURE;106 RUE DES ENTREPRENEURS - 75115;48.8433374138,2.29372234936
3764669;HOPITAL SAINT-VINCENT DE PAUL;76 AVENUE DENFERT-ROCHEREAU - 75114;48.8373686296,2.33511711758
3764714;BRETEUIL;3 PLACE DE BRETEUIL - 75107;48.8472523124,2.31223906468
6401871;GENERAL DE GAULLE - STALINGRAD;149-151 BOULEVARD DE STALINGRAD - 94017;48.8243477033,2.49591201976
6408751;DEFENSE;2-4 RUE D'EREVAN - 92040;48.8194510995,2.26299658899
6423463;JACQUES BONSERGENT;27-29 BOULEVARD DE MAGENTA - 75110;48.871114259,2.36048345418
6423493;DOCTEUR NETTER;67 AVENUE DE SAINT-MANDE - 75112;48.8448359575,2.40508102581
6423496;MAIRIE DE SAINT-MANDE;FACE 1 AVENUE GAMBETTA - 94067;48.8437937373,2.41887342541
6423897;COEUR MOLE CENTRAL;ROUTE DU MOLE CENTRAL - 92036;48.9411148425,2.28616414641
6423911;DARSE N0 5;ROUTE PRINCIPALE DU PORT - 92036;48.9410819963,2.29400851611
6423923;MERCIERES.;ROUTE DES MERCIERES - 92036;48.9357698476,2.2721601875
6423924;DIRECTION DU PORT.;62 ROUTE PRINCIPALE DU PORT - 92036;48.9361802613,2.26690787237
6446065;MAIRIE DE GENTILLY;FACE 35 RUE CHARLES FREROT - 94037;48.815698661,2.35071434501
6446082;VERDUN - VICTOR HUGO;FACE 7 RUE CHARLES FREROT - 94037;48.8166511008,2.35283769244
6446090;LOUIS FREBAULT;86 AVENUE DE LA CONVENTION - 94003;48.8044107797,2.33624780519
6446103;SOUS-PREFECTURE - EGLISE DE L'HAY-LES-ROSES;7-9 RUE JEAN JAURES - 94038;48.7783817945,2.33487474983
6456032;NOEL PONS;14 RUE NOEL PONS - 92050;48.9048518681,2.22114421965
6456037;ECOLES DU PETIT COLOMBES;329 RUE GABRIEL PERI - 92025;48.9175382998,2.23738369329
6456071;UNIVERSITE PARIS 10;VOIE LATERALE - 92050;48.9037170821,2.21869291244
6456109;PARC PIERRE LAGRAVERE;R DU PRESIDENT SALVADOR ALLENDE - 92025;48.9185338676,2.22504083443
6456142;PLACE DE LA BOULE;PLACE DE LA BOULE - 92050;48.8874576117,2.20033199836
6575263;ALBERT THOMAS;FACE 25 AVENUE ALBERT THOMAS - 93057;48.8993317445,2.50103525351
6575265;BRACKLEY;130 AVENUE FRANKLIN - 93057;48.899882872,2.50539907778
6575269;VIRGINIE;69 ALLEE PIERRE BROSSOLETTE - 93057;48.9026375081,2.50212264869
6578364;JULES QUENTIN;31 RUE DE STALINGRAD - 92050;48.8946025154,2.19278930102
6578378;BALZAC - ZOLA;BOULEVARD HONORE DE BALZAC - 92050;48.8947116423,2.20966310618
6591435;GABRIEL HUSSON;100 RUE DE LA REPUBLIQUE - 93063;48.8803861487,2.43635915187
6591442;PORTE DES LILAS-METRO;349 RUE DE BELLEVILLE - 75120;48.8769925248,2.40572261709
